id,name,reason
198,Drive Lah Pte Ltd - Trust Pilot,DEACTIVATE-redundant
180,Drive Lah Pte Ltd - Sentry,DEACTIVATE-redundant
201,Drive Lah Pte Ltd - Uptime,DEACTIVATE-redundant
128,Drive Lah Pte Ltd - Intuit as Operating Expenses-Corporate - Bookkeeping Fees,DEACTIVATE-redundant
108,Drive Lah Pte Ltd - Eurokars RMS,DEACTIVATE-redundant
135,Drive Lah Pte Ltd - Komoco RMS,DEACTIVATE-identity-only
115,Drive Lah Pte Ltd - Google cloud,DEACTIVATE-redundant
40,Drive Lah Pte Ltd - ABWIN RMS,DEACTIVATE-redundant
107,Drive Lah Pte Ltd - Dropbox,DEACTIVATE-redundant
212,Drive Lah Pte Ltd - Zoom,DEACTIVATE-redundant
145,Drive Lah Pte Ltd - Miro,DEACTIVATE-redundant
144,Drive Lah Pte Ltd - Midjourney,DEACTIVATE-redundant
156,Drive Lah Pte Ltd - ONELINK,DEACTIVATE-redundant
5,Drive Lah Australia Pty Ltd - Quickbooks,DEACTIVATE-redundant
25,Drive Lah Australia Pty Ltd - (Suggested) Transfer Benjamin Gotto Smith Commbank as Corporate - Legal and professional fees,DEACTIVATE-superseded-by-arbitrated-default
36,Drive Lah Australia Pty Ltd - (Suggested) Sydney as Operating Expenses-Travel Expense,DEACTIVATE-redundant
37,Drive Lah Australia Pty Ltd - (Suggested) Starbucks as Meals and entertainment,DEACTIVATE-redundant
48,Drive Lah Australia Pty Ltd - Aussie Broadband,DEACTIVATE-superseded-by-arbitrated-default
220,Drive Lah Australia Pty Ltd - Digital Matter,DEACTIVATE-redundant
226,Drive Lah Australia Pty Ltd - Insuret,DEACTIVATE-redundant
227,Drive Lah Australia Pty Ltd - Linkt as Operating Expenses,DEACTIVATE-redundant
229,Drive Lah Australia Pty Ltd - Didi,DEACTIVATE-redundant
231,Drive Lah Australia Pty Ltd - Transport NSW,DEACTIVATE-redundant
158,Drive Lah Pte Ltd - OVERFLOW,DEACTIVATE-redundant
119,Drive Lah Pte Ltd - HEROKU,DEACTIVATE-redundant
43,Drive Lah Pte Ltd - Arena detailing,DEACTIVATE-redundant
100,Drive Lah Pte Ltd - CDG RMS,DEACTIVATE-redundant
101,Drive Lah Pte Ltd - CHENG CHUAN,DEACTIVATE-redundant
44,Drive Lah Pte Ltd - Atlassian,DEACTIVATE-redundant
178,Drive Lah Pte Ltd - Sarala salary,DEACTIVATE-redundant
149,Drive Lah Pte Ltd - MURF.AI,DEACTIVATE-redundant
39,Drive Lah Australia Pty Ltd - Adjust,DEACTIVATE-redundant
132,Drive Lah Pte Ltd - Jay Salary,DEACTIVATE-redundant
78,Drive Lah Pte Ltd - Cheng Auto Body works,DEACTIVATE-redundant
83,Drive Lah Pte Ltd - Elite car,DEACTIVATE-redundant
