invoice_id,counterparty_id,inv_amount,inv_currency,invoice_date,proposed_txn_id,txn_amount,txn_currency,txn_date,match_basis,amount_delta_sgd,date_gap_days,ref_confirmed,confidence
1622,132,,,,,,,,NONE,,,,
1623,119,,,,,,,,NONE,,,,
1624,117,,,,,,,,NONE,,,,
1625,84,1362.0,SGD,2024-06-24,92591,1362.0,SGD,2024-07-01,EXACT,0.0,7,N,MED
1626,138,825.0,AUD,2025-07-30,97403,825.0,AUD,2025-09-05,EXACT,0.0,37,Y,HIGH
1627,123,200.0,AUD,2023-12-31,95831,200.57,AUD,2024-01-30,NEAR_1PCT,0.513,30,Y,HIGH
1628,102,6655.0,AUD,2025-07-09,97202,5001.0,AUD,2025-07-09,AMOUNT_GAP,-1488.6,0,N,LOW
1629,142,21660.06,AUD,2025-09-09,9809,2213.29,AUD,2026-01-23,AMOUNT_GAP,-17502.093,136,Y,MED
1630,752,5000.0,AUD,2025-05-16,97341,5000.0,AUD,2025-08-25,EXACT,0.0,101,Y,HIGH
1631,509,,,,,,,,NONE,,,,
1632,27,1526.0,SGD,2025-05-14,94528,1526.0,SGD,2025-05-20,EXACT,0.0,6,Y,HIGH
1634,694,4325.29,SGD,2025-09-02,95175,4325.29,SGD,2025-10-23,EXACT,0.0,51,N,HIGH
1636,86,,,,,,,,NONE,,,,
1637,752,2000.0,AUD,2024-11-19,97331,2000.0,AUD,2025-08-25,EXACT,0.0,279,N,MED
1638,70,,,,,,,,NONE,,,,
1639,146,80.0,SGD,2025-09-21,9532,80.0,SGD,2026-05-29,EXACT,0.0,250,Y,HIGH
1640,117,,,,,,,,NONE,,,,
1643,651,,,,,,,,NONE,,,,
1644,138,330.0,AUD,2025-10-06,97844,330.0,AUD,2025-12-19,EXACT,0.0,74,Y,HIGH
1645,28,990.0,AUD,2026-03-05,10936,990.0,AUD,2026-07-06,EXACT,0.0,123,Y,HIGH
1646,734,,,,,,,,NONE,,,,
1648,28,770.0,AUD,2025-12-19,10002,770.0,AUD,2026-02-23,EXACT,0.0,66,Y,HIGH
1649,138,250.0,AUD,2025-09-28,97670,250.0,AUD,2025-11-12,EXACT,0.0,45,Y,HIGH
1651,671,,,,,,,,NONE,,,,
1652,123,120.0,AUD,2023-10-30,95834,120.57,AUD,2024-01-30,NEAR_1PCT,0.513,92,Y,HIGH
1653,651,,,,,,,,NONE,,,,
1655,651,,,,,,,,NONE,,,,
1656,651,,,,,,,,NONE,,,,
1657,509,26636.46,AUD,2024-03-12,95857,26637.03,AUD,2024-03-16,NEAR_1PCT,0.513,4,Y,HIGH
1658,28,440.0,AUD,2026-04-28,10937,440.0,AUD,2026-07-06,EXACT,0.0,69,Y,HIGH
1659,28,1210.0,AUD,2025-08-01,97550,1210.0,AUD,2025-10-20,EXACT,0.0,80,Y,HIGH
1661,138,787.0,AUD,2025-09-24,97668,787.0,AUD,2025-11-12,EXACT,0.0,49,Y,HIGH
1662,509,25122.41,AUD,2025-02-28,96989,25123.41,AUD,2025-05-13,NEAR_1PCT,0.9,74,Y,HIGH
1663,116,8053.51,USD,2024-09-30,96716,13045.75,AUD,2025-02-28,GST,949.4716,151,Y,MED
1664,123,310.0,AUD,2023-10-31,95832,310.57,AUD,2024-01-30,NEAR_1PCT,0.513,91,Y,HIGH
1666,138,198.0,AUD,2025-09-22,97669,198.0,AUD,2025-11-12,EXACT,0.0,51,Y,HIGH
1667,27,1526.0,SGD,2025-10-02,95106,1526.0,SGD,2025-10-15,EXACT,0.0,13,Y,HIGH
1669,65,950.22,AUD,2025-02-01,96894,976.12,AUD,2025-04-07,AMOUNT_GAP,23.31,65,N,LOW
1670,622,,,,,,,,NONE,,,,
1674,699,,,,,,,,NONE,,,,
1675,146,120.0,SGD,2026-01-21,9531,120.0,SGD,2026-05-29,EXACT,0.0,128,Y,HIGH
1679,72,165.0,AUD,2025-09-15,97803,165.0,AUD,2025-12-10,EXACT,0.0,86,Y,HIGH
1680,735,1529.0,AUD,2024-10-30,96132,1530.23,AUD,2024-11-07,NEAR_1PCT,1.107,8,Y,HIGH
1681,142,22762.54,AUD,2024-11-07,96169,22763.77,AUD,2024-11-20,NEAR_1PCT,1.107,13,Y,HIGH
1682,509,3000.0,AUD,2025-12-23,10946,3000.0,AUD,2026-07-07,EXACT,0.0,196,N,HIGH
1684,752,2350.0,AUD,2024-12-06,96512,2351.0,AUD,2025-01-24,NEAR_1PCT,0.9,49,N,MED
1685,84,1362.0,SGD,2024-12-25,93970,1362.0,SGD,2025-01-31,EXACT,0.0,37,N,MED
1686,752,3000.0,AUD,2025-10-31,9682,3000.0,AUD,2026-01-12,EXACT,0.0,73,Y,HIGH
1687,72,220.0,AUD,2025-10-15,97806,220.0,AUD,2025-12-10,EXACT,0.0,56,Y,HIGH
